Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
58,No,Non-Travel,665,Human Resources,8,2,Technical Degree,1,1,1,Male,34,1,1,Manager,2,Single,1878,20484,3,Y,No,18,4,1,80,3,21,2,2,13,10,3,2
42,No,Travel_Frequently,806,Sales,9,1,Technical Degree,1,2,1,Male,40,3,5,Research Director,2,Single,3288,3595,3,Y,No,24,3,1,80,2,29,5,3,10,11,11,6
60,Yes,Travel_Rarely,1429,Human Resources,20,2,Other,1,3,2,Male,78,3,5,Manager,3,Divorced,8514,3145,5,Y,Yes,12,3,3,80,3,25,5,4,9,8,4,7
53,Yes,Travel_Rarely,1299,Research & Development,29,5,Medical,1,4,2,Female,95,4,1,Healthcare Representative,1,Divorced,6251,24392,6,Y,Yes,17,4,3,80,0,34,6,3,21,3,9,13
28,Yes,Non-Travel,641,Sales,25,2,Other,1,5,3,Female,49,3,2,Sales Representative,1,Single,11630,18104,0,Y,Yes,25,4,2,80,1,36,0,1,31,2,4,4
60,Yes,Travel_Rarely,440,Research & Development,17,5,Medical,1,6,2,Male,81,3,4,Sales Representative,4,Divorced,9132,9456,1,Y,No,20,3,2,80,0,40,0,2,4,1,10,2
50,No,Travel_Frequently,1472,Research & Development,7,5,Life Sciences,1,7,2,Male,82,2,1,Human Resources,4,Married,14888,15564,7,Y,No,11,4,3,80,1,12,1,4,8,13,5,8
47,No,Non-Travel,1009,Sales,4,1,Technical Degree,1,8,1,Female,51,4,4,Sales Executive,2,Married,2930,7488,6,Y,Yes,15,4,3,80,3,9,1,3,13,1,1,10
21,No,Travel_Rarely,1078,Sales,28,5,Life Sciences,1,9,1,Female,38,1,2,Research Scientist,1,Single,9076,21064,9,Y,No,17,4,3,80,2,15,2,4,8,9,14,10
22,No,Travel_Frequently,1374,Sales,4,1,Other,1,10,3,Female,74,1,2,Research Director,3,Divorced,15367,19894,4,Y,Yes,25,3,2,80,0,6,5,2,17,9,6,10
31,Yes,Travel_Rarely,1102,Research & Development,29,1,Human Resources,1,11,3,Female,30,3,2,Manufacturing Director,2,Single,15487,20171,6,Y,No,12,3,1,80,1,27,1,1,19,11,1,11
31,No,Travel_Rarely,312,Research & Development,25,5,Medical,1,12,2,Female,52,4,1,Laboratory Technician,3,Married,9140,10836,2,Y,Yes,24,3,4,80,1,29,2,3,14,7,0,6
43,Yes,Travel_Frequently,244,Research & Development,12,5,Medical,1,13,1,Female,63,2,5,Manufacturing Director,1,Divorced,15248,13421,5,Y,No,17,3,3,80,3,0,4,2,23,13,2,10
57,Yes,Travel_Rarely,357,Sales,29,3,Other,1,14,4,Male,81,3,5,Laboratory Technician,2,Married,13432,24288,2,Y,Yes,19,3,3,80,1,27,6,3,29,14,14,6
50,Yes,Travel_Rarely,449,Sales,3,3,Other,1,15,1,Female,69,2,2,Laboratory Technician,1,Divorced,9032,17663,9,Y,Yes,17,3,4,80,3,15,1,1,6,13,7,5
51,Yes,Non-Travel,1243,Human Resources,28,1,Medical,1,16,4,Male,86,4,5,Sales Executive,2,Single,16563,16841,4,Y,Yes,23,4,2,80,3,4,5,3,15,8,10,10
52,No,Non-Travel,410,Human Resources,13,2,Technical Degree,1,17,1,Male,82,3,5,Sales Executive,4,Divorced,7786,15861,6,Y,Yes,18,3,3,80,3,26,4,2,31,7,8,13
49,No,Travel_Frequently,790,Sales,22,4,Technical Degree,1,18,4,Female,98,1,4,Healthcare Representative,1,Single,15053,6540,7,Y,No,15,4,3,80,3,20,2,4,17,13,8,2
